"","gutenberg_id","text"
"123",30001,"developments of energetics and the foundations of thermodynamics.[2] It"
"124",30001,"is a curious mixture, all the more so because, tangled inextricably in"
"125",30001,"it, we shall find the most important and earliest references to the use"
"126",30001,"of the magnetic compass in the West. It seems that in revising the"
"127",30001,"histories of clockwork and the magnetic compass, these considerations"
"128",30001,"of perpetual motion devices may provide some much needed evidence."
"129",30001,""
"130",30001,"[Illustration: Figure 1.--FRAMEWORK STRUCTURE OF THE ASTRONOMICAL CLOCK"
"131",30001,"of Giovanni de Dondi of Padua, A.D. 1364.]"
"132",30001,""
"133",30001,""
"134",30001,""
"135",30001,""
"136",30001,"Power and Motion Gearing"
"137",30001,""
"138",30001,"It may be readily accepted that the use of toothed wheels to transmit"
"139",30001,"power or turn it through an angle was widespread in all cultures several"
"140",30001,"centuries before the beginning of our era. Certainly, in classical times"
"141",30001,"they were already familiar to Archimedes (born 287 B.C.),[3] and in"
"142",30001,"China actual examples of wheels and moulds for wheels dating from the"
"143",30001,"4th century B.C. have been preserved.[4] It might be remarked that"
"144",30001,"these ""machine"" gear wheels are characterized by having a ""round number"""
"145",30001,"of teeth (examples with 16, 24 and 40 teeth are known) and a shank with"
"146",30001,"a square hole which fits without turning on a squared shaft. Another"
"147",30001,"remarkable feature in these early gears is the use of ratchet-shaped"
"148",30001,"teeth, sometimes even twisted helically so that the gears resemble worms"
"149",30001,"intermeshing on parallel axles.[5] The existence of windmills and"
"150",30001,"watermills testifies to the general familiarity, from classical times"
"151",30001,"and through the middle ages, with the use of gears to turn power through"
"152",30001,"a right angle."
"153",30001,""
"154",30001,"[Illustration: Figure 2.--ASTRONOMICAL CLOCK of de Dondi, showing"
"155",30001,"gearing on the dial for Mercury and escapement crown wheel. Each of the"
"156",30001,"seven side walls of the structure shown in figure 1 was fitted with a"
"157",30001,"dial.]"
"158",30001,""
"159",30001,"Granted, then, this use of gears, one must guard against any conclusion"
"160",30001,"that the fine-mechanical use of gears to provide special ratios of"
"161",30001,"angular movement was similarly general and widespread. It is customary"
"162",30001,"to adduce here the evidence of the hodometer (taximeter) described by"
"163",30001,"Vitruvius (1st century B.C.) and by Hero of Alexandria (1st century"
"164",30001,"A.D.) and the ingenious automata also described by this latter author"
"165",30001,"and his Islamic followers.[6] One may also cite the use of the reduction"
"166",30001,"gear chain in power machinery as used in the geared windlass of"
"167",30001,"Archimedes and Hero."
"168",30001,""
"169",30001,"Unfortunately, even the most complex automata described by Hero and by"
"170",30001,"such authors as Ri[d.]w[=a]n contain gearing in no more extensive context"
"171",30001,"than as a means of transmitting action around a right angle. As for the"
"172",30001,"windlass and hodometer, they do, it is true, contain whole series of"
"173",30001,"gears used in steps as a reduction mechanism, usually for an"
"174",30001,"extraordinarily high ratio, but here the technical details are so"
"175",30001,"etherial that one must doubt whether such devices were actually realized"
"176",30001,"in practice. Thus Vitruvius writes of a wheel 4 feet in diameter and"
"177",30001,"having 400 teeth being turned by a 1-toothed pinion on a cart axle, but"
"178",30001,"it is very doubtful whether such small teeth, necessarily separated by"
"179",30001,"about 3/8 inch, would have the requisite ruggedness. Again, Hero"
"180",30001,"mentions a wheel of 30 teeth which, because of imperfections, might need"
"181",30001,"only 20 turns of a single helix worm to turn it! Such statements behove"
"182",30001,"caution and one must consider whether we have been misled by the"
"183",30001,"16th- and 17th-century editions of these authors, containing"
"184",30001,"reconstructions now often cited as authoritative but then serving as"
"185",30001,"working diagrams for practical use in that age when the clock was"
"186",30001,"already a familiar and complex mechanism. At all events, even if one"
"187",30001,"admits without substantial evidence that such gear reduction devices"
"188",30001,"were familiar from Hellenistic times onwards, they can hardly serve as"
"189",30001,"more than very distant ancestors of the earliest mechanical clocks."
"190",30001,""
"191",30001,""
"192",30001,""
"193",30001,""
"194",30001,"Mechanical Clocks"
"195",30001,""
"196",30001,"Before proceeding to a discussion of the controversial evidence which"
"197",30001,"may be used to bridge this gap between the first use of gears and the"
"198",30001,"fully-developed mechanical clock we must examine the other side of this"
"199",30001,"gap. Recent research on the history of early mechanical clocks has"
"200",30001,"demonstrated certain peculiarities most relevant to our present"
"201",30001,"argument."
"202",30001,""
"203",30001,""
"204",30001,"THE EUROPEAN TRADITION"
"205",30001,""
"206",30001,"If one is to establish a _terminus ante quem_ for the appearance of the"
"207",30001,"mechanical clock in Europe, it would appear that 1364 is a most"
"208",30001,"reasonable date. At that time we have the very full mechanical and"
"209",30001,"historical material concerning the horological masterpiece built by"
"210",30001,"Giovanni de Dondi of Padua,[7] and probably started as early as 1348. It"
"211",30001,"might well be possible to set a date a few decades earlier, but in"
"212",30001,"general as one proceeds backwards from this point, the evidence becomes"
"213",30001,"increasingly fragmentary and uncertain. The greatest source of doubt"
"214",30001,"arises from the confusion between sundials, water-clocks, hand-struck"
"215",30001,"time bells, and mechanical clocks, all of which are covered by the term"
"216",30001,"_horologium_ and its vernacular equivalents."
"217",30001,""
"218",30001,"Temporarily postponing the consideration of evidence prior to _ca._"
"219",30001,"1350, we may take Giovanni de Dondi as a starting point and trace a"
"220",30001,"virtually unbroken lineage from his time to the present day. One may"
"221",30001,"follow the spread of clocks through Europe, from large towns to small"
"222",30001,"ones, from the richer cathedrals and abbeys to the less wealthy"
"223",30001,"churches.[8] There is the transition from the tower clocks--showpieces"
"224",30001,"of great institutions--to the simple chamber clock designed for domestic"
"225",30001,"use and to the smaller portable clocks and still smaller and more"
"226",30001,"portable pocket watches. In mechanical refinement a similar continuity"
"227",30001,"may be noted, so that one sees the cumulative effect of the introduction"
"228",30001,"of the spring drive (_ca._ 1475), pendulum control (_ca._ 1650), and the"
"229",30001,"anchor escapement (_ca._ 1680). The transition from de Dondi to the"
"230",30001,"modern chronometer is indeed basically continuous, and though much"
"231",30001,"research needs to be done on special topics, it has an historical unity"
"232",30001,"and seems to conform for the most part to the general pattern of steady"
"233",30001,"mechanical improvement found elsewhere in the history of technology."
"234",30001,""
"235",30001,"[Illustration: Figure 3.--GERMAN WALL CLOCK, PROBABLY ABOUT 1450,"
"236",30001,"showing the degeneration in complexity from that of de Dondi's clock.]"
"237",30001,""
"238",30001,"Most remarkable however is the earliest period of this seemingly steady"
"239",30001,"evolution. Side by side with the advances made in the earliest period"
"240",30001,"extending for less than two centuries from the time of de Dondi one may"
"241",30001,"see a spectacular process of degeneration or devolution. Not only is de"
"242",30001,"Dondi's the earliest clock of which we have a full and trustworthy"
"243",30001,"account, it is also far more complicated than any other (see figs. 1, 2)"
"244",30001,"until comparatively modern times! Moreover, it was not an exceptional"
"245",30001,"freak. There were others like it, and one cannot therefore reject as"
"246",30001,"accidental this process of degeneration that occurs at the very"
"247",30001,"beginning of the certain history of the mechanical clock in Europe."
"248",30001,""
"249",30001,"On the basis of such evidence I have suggested elsewhere[9] that the"
"250",30001,"clock is ""nought but a fallen angel from the world of astronomy."" The"
"251",30001,"first great clocks of medieval Europe were designed as astronomical"
"252",30001,"showpieces, full of complicated gearing and dials to show the motions of"
"253",30001,"the Sun, Moon and planets, to exhibit eclipses, and to carry through the"
"254",30001,"involved computations of the ecclesiastical calendar. As such they were"
"255",30001,"comparable to the orreries of the 18th century and to modern"
"256",30001,"planetariums; that they also showed the time and rang it on bells was"
"257",30001,"almost incidental to their main function. One must not neglect, too,"
"258",30001,"that it was in their glorification of the rationality of the cosmos that"
"259",30001,"they had their greatest effect. Through milleniums of civilization,"
"260",30001,"man's understanding of celestial phenomena had been the very pinnacle of"
"261",30001,"his intellect, and then as now popular exhibition of this sort was just"
"262",30001,"as necessary, as striking, and as impressive. One does not have to go"
"263",30001,"far to see how the paraphernalia of these early great astronomical"
"264",30001,"clocks had great influence on philosophers and theologians and on poets"
"265",30001,"such as Dante."
"266",30001,""
"267",30001,"It is the thesis of this part of my argument that the ordinary"
"268",30001,"time-telling clock is no affiliate of the other simple time-telling"
"269",30001,"devices such as sundials, sand glasses and the elementary water clocks."
"270",30001,"Rather it should be considered as a degenerate branch from the main stem"
"271",30001,"of mechanized astronomical devices (I shall call them protoclocks), a"
"272",30001,"stem which can boast a continuous history filling the gap between the"
"273",30001,"appearance of simple gearing and the complications of de Dondi. We shall"
"274",30001,"return to the discussion of this main stem after analyzing the very"
"275",30001,"recently discovered parallel stem from medieval China, which reproduced"
"276",30001,"the same evolution of mechanized astronomical devices and incidental"
"277",30001,"time telling. Of the greatest significance, this stem reveals the"
"278",30001,"crucial independent invention of a mechanical escapement, a feature not"
"279",30001,"found in the European stem in spite of centuries of intensive historical"
"280",30001,"research and effort."
"281",30001,""
"282",30001,""
"283",30001,"THE CHINESE TRADITION"
"284",30001,""
"285",30001,"For this section I am privileged to draw upon a thrilling research"
"286",30001,"project carried out in 1956 at the University of Cambridge by a team"
"287",30001,"consisting of Dr. Joseph Needham, Dr. Wang Ling, and myself.[10] In the"
"288",30001,"course of this work we translated and commented on a series of texts"
"289",30001,"most of which had not hitherto been made available in a Western tongue"
"290",30001,"and, though well known in China, had not been recognized as important"
"291",30001,"for their horological content. The key text with which we started was"
"292",30001,"the ""Hsin I Hsiang Fa Yao,"" or ""New Design for a (mechanized) Armillary"
"293",30001,"(sphere) and (celestial) Globe,"" written by Su Sung in A.D. 1090. The"
"294",30001,"very full historical and technical description in this text enabled us"
"295",30001,"to establish a glossary and basic understanding of the mechanism that"
"296",30001,"later enabled us to interpret a whole series of similar, though less"
"297",30001,"extensive texts, giving a history of prior development of such devices"
"298",30001,"going back to the introduction of this type of escapement by I-Hsing and"
"299",30001,"Liang Ling-tsan, in A.D. 725, and to what seems to be the original of"
"300",30001,"all these Chinese astronomical machines, that built by Chang Heng _ca._"
"301",30001,"A.D. 130. Filling the gaps between these landmarks are several other"
"302",30001,"similar texts, giving ample evidence that the Chinese development is"
"303",30001,"continuous and, at least from Chang Heng onwards, largely independent of"
"304",30001,"any transmissions from the West."
"305",30001,""
"306",30001,"So far as we can see, the beginning of the chain in China (as indeed in"
"307",30001,"the West) was the making of simple static models of the celestial"
"308",30001,"sphere. An armillary sphere was used to represent the chief imaginary"
"309",30001,"circles (_e.g._, equator, ecliptic, meridians, etc.), or a solid"
"310",30001,"celestial globe on which such circles could be drawn, together with the"
"311",30001,"constellations of the fixed stars. The whole apparatus was then mounted"
"312",30001,"so that it was free to revolve about its polar axis and another ring or"
"313",30001,"a casing was added, external and fixed, to represent the horizon that"
"314",30001,"provided a datum for the rising and setting of the Sun and the stars."
"315",30001,""
"316",30001,"In the next stage, reached very soon after this, the rotation of the"
"317",30001,"model was arranged to proceed automatically instead of by hand. This was"
"318",30001,"done, we believe, by using a slowly revolving wheel powered by dripping"
"319",30001,"water and turning the model through a reduction mechanism, probably"
"320",30001,"involving gears or, more reasonably, a single large gear turned by a"
"321",30001,"trip lever. It did not matter much that the time-keeping properties were"
"322",30001,"poor in the long run; the model moved ""by itself"" and the great wonder"
"323",30001,"was that it agreed with the observed heavens ""like the two halves of a"
"324",30001,"tally."""
"325",30001,""
"326",30001,"In the next, and essential, stage the turning of the water wheel was"
"327",30001,"regulated by an ""escapement"" mechanism consisting of a weighbridge and"
"328",30001,"trip levers so arranged that the wheel was held in check, scoop by"
"329",30001,"scoop, while each scoop was filled by the dripping water, then released"
"330",30001,"by the weighbridge and allowed to rotate until checked again by the"
"331",30001,"trip-lever arrangement. Its action was similar to that of the anchor"
"332",30001,"escapement, though its period of repose was much longer than its period"
"333",30001,"of motion and, of course, its time-keeping properties were controlled not"
"334",30001,"only by the mechanics of the device but also by the rate of flow of the"
"335",30001,"dripping water."
"336",30001,""
"337",30001,"The Chinese escapement may justifiably be regarded as a missing link,"
"338",30001,"just halfway between the elementary clepsydra with its steady flow of"
"339",30001,"water and the mechanical escapement in which time is counted by chopping"
"340",30001,"its flow into cycles of action, repeated indefinitely and counted by a"
"341",30001,"cumulating device. With its characteristic of saving up energy for a"
"342",30001,"considerable period (about 15 minutes) before letting it go in one"
"343",30001,"powerful action, the Chinese escapement was particularly suited to the"
"344",30001,"driving of jackwork and other demonstration devices requiring much"
"345",30001,"energy but only intermittent activity."
"346",30001,""
"347",30001,"In its final form, as built by Su Sung after many trials and"
"348",30001,"improvements, the Chinese ""astronomical clock-tower"" must have been a"
"349",30001,"most impressive object. It had the form of a tower about 30 feet high,"
"350",30001,"surmounted by an observation platform covered with a light roof (see"
"351",30001,"fig. 4). On the platform was an armillary sphere designed for observing"
"352",30001,"the heavens. It was turned by the clockwork so as to follow the diurnal"
"353",30001,"rotation and thus avoid the distressing computations caused by the"
"354",30001,"change of coordinates necessary when fixed alt-azimuth instruments were"
"355",30001,"used. Below the platform was an enclosed chamber containing the"
"356",30001,"automatically rotated celestial globe which so wonderfully agreed with"
"357",30001,"the heavens. Below this, on the front of the tower was a miniature"
"358",30001,"pagoda with five tiers; on each tier was a doorway through which, at due"
"359",30001,"moment, appeared jacks who rang bells, clanged gongs, beat drums, and"
"360",30001,"held tablets to announce the arrival of each hour, each quarter (they"
"361",30001,"used 100 of them to the day) and each watch of the night. Within the"
"362",30001,"tower was concealed the mechanism; it consisted mainly of a central"
"363",30001,"vertical shaft providing power for the sphere, globe, and jackwheels,"
"364",30001,"and a horizontal shaft geared to the vertical one and carrying the great"
"365",30001,"water wheel which seemed to set itself magically in motion at every"
"366",30001,"quarter. In addition to all this were the levers of the escapement"
"367",30001,"mechanism and a pair of norias by which, once each day, the water used"
"368",30001,"was pumped from a sump at the bottom to a reservoir at the top, whence"
"369",30001,"it descended to work the wheel by means of a constant level tank and"
"370",30001,"several channels."
"371",30001,""
"372",30001,"There were many offshoots and developments of this main stem of Chinese"
"373",30001,"horology. We are told, for example, that often mercury and occasionally"
"374",30001,"sand were used to replace the water, which frequently froze in winter in"
"375",30001,"spite of the application of lighted braziers to the interior of the"
"376",30001,"machines. Then again, the astronomical models and the jackwork were"
"377",30001,"themselves subject to gradual improvement: at the time of I-Hsing, for"
"378",30001,"example, special attention was paid to the demarcation of ecliptic as"
"379",30001,"well as the normal equatorial coordinates; this was clearly an influx"
"380",30001,"from Hellenistic-Islamic astronomy, in which the relatively"
"381",30001,"sophisticated planetary mathematics had forced this change not otherwise"
"382",30001,"noted in China."
"383",30001,""
"384",30001,"By the time of the Jesuits, this current of Chinese horology, long since"
"385",30001,"utterly destroyed by the perils of wars, storms, and governmental"
"386",30001,"reforms, had quite been forgotten. Matteo Ricci's clocks, those gifts"
"387",30001,"that aroused so much more interest than European theological teachings,"
"388",30001,"were obviously something quite new to the 16th-century Chinese scholars;"
"389",30001,"so much so that they were dubbed with a quite new name, ""self-sounding"
"390",30001,"bells,"" a direct translation of the word ""clock"" (_glokke_). In view of"
"391",30001,"the fact that the medieval Chinese escapement may have been the basis of"
"392",30001,"European horology, it is a curious twist of fate that the high regard of"
"393",30001,"the Chinese for European clocks should have prompted them to open their"
"394",30001,"doors, previously so carefully and for so long kept closed against the"
"395",30001,"foreign barbarians."
"396",30001,""
"397",30001,"[Illustration: Figure 4.--ASTRONOMICAL CLOCK TOWER OF SU SUNG in"
"398",30001,"K'ai-feng, _ca._ A.D. 1090, from an original drawing by John"
"399",30001,"Christiansen. (_Courtesy of Cambridge University Press._)]"
"400",30001,""
"401",30001,""
"402",30001,""
"403",30001,""
"404",30001,"Mechanized Astronomical Models"
"405",30001,""
"406",30001,"Now that we have seen the manner in which mechanized astronomical models"
"407",30001,"developed in China, we can detect a similar line running from"
"408",30001,"Hellenistic time, through India and Islam to the medieval Europe that"
"409",30001,"inherited their learning. There are many differences, notably because of"
"410",30001,"the especial development of that peculiar characteristic of the West,"
"411",30001,"mathematical astronomy, conditioned by the almost accidental conflux of"
"412",30001,"Babylonian arithmetical methods with those of Greek geometry. However,"
"413",30001,"the lines are surprisingly similar, with the exception only of the"
"414",30001,"crucial invention of the escapement, a feature which seems to be"
"415",30001,"replaced by the influx of ideas connected with perpetual motion wheels."
"416",30001,""
"417",30001,""
"418",30001,"HELLENISTIC PERIOD"
"419",30001,""
"420",30001,"Most interesting and frequently cited is the bronze planetarium said to"
"421",30001,"have been made by Archimedes and described in a tantalisingly"
"422",30001,"fragmentary fashion by Cicero and by later authors. Because of its"
"423",30001,"importance as a prototype, we give the most relevant passages in"
"424",30001,"full.[11]"
"425",30001,""
"426",30001,"Cicero's descriptions of Archimedes' planetarium are (italics supplied):"
"427",30001,""
"428",30001,"  Gaius Sulpicius Gallus ... at a time when ... he happened"
"429",30001,"  to be at the house of Marcus Marcellus, his colleague in"
"430",30001,"  the consulship [166 B.C.], ordered the celestial globe to"
"431",30001,"  be brought out which the grandfather of Marcellus had"
"432",30001,"  carried off from Syracuse, when that very rich and"
"433",30001,"  beautiful city was taken [212 B.C.].... Though I had heard"
"434",30001,"  this globe (sphaerae) mentioned quite frequently on"
"435",30001,"  account of the fame of Archimedes, when I saw it I did not"
"436",30001,"  particularly admire it; for that other celestial globe,"
"437",30001,"  also constructed by Archimedes, which the same Marcellus"
"438",30001,"  placed in the temple of Virtue, is more beautiful as well"
"439",30001,"  as more widely known among the people. But when Gallus"
"440",30001,"  began to give a very learned explanation of the device, I"
"441",30001,"  concluded that the famous Sicilian had been endowed with"
"442",30001,"  greater genius than one would imagine possible for human"
"443",30001,"  being to possess. For Gallus told us that the other kind"
"444",30001,"  of celestial globe, which was solid and contained no"
"445",30001,"  hollow space, was a very early invention, the first one of"
"446",30001,"  that kind having been constructed by Thales of Miletus,"
"447",30001,"  and later marked by Eudoxus of Cnidus--a disciple of"
"448",30001,"  Plato, it was claimed--with constellations and stars which"
"449",30001,"  are fixed in the sky. He also said that many years later"
"450",30001,"  Aratus ... had described it in verse.... But this newer"
"451",30001,"  kind of globe, he said, on which were delineated the"
"452",30001,"  motions of the sun and moon and of those five stars which"
"453",30001,"  are called wanderers, or, as we might say, rovers"
"454",30001,"  [_i. e._, the five planets], contained more than could be"
"455",30001,"  shown on the solid globe, and the invention of Archimedes"
"456",30001,"  deserved special admiration because he had thought out a"
"457",30001,"  way to represent accurately by a single device for turning"
"458",30001,"  the globe, those various and divergent movements with"
"459",30001,"  their different rates of speed. And when Gallus moved"
"460",30001,"  [_i.e._, set in motion] the globe, it was actually true"
"461",30001,"  that the moon was always as many revolutions behind the"
"462",30001,"  sun on the _bronze_ contrivance as would agree with the"
"463",30001,"  number of days it was behind in the sky. Thus the same"
"464",30001,"  eclipse of the sun happened on the globe as would actually"
"465",30001,"  happen, and the moon came to the point where the shadow of"
"466",30001,"  the earth was at the very time when the sun (appeared?)"
"467",30001,"  out of the region ... [several pages are missing in the"
"468",30001,"  manuscript; there is only one]."
"469",30001,""
"470",30001,"    _De republica_, I, xiv (21-22), Keyes' translation."
"471",30001,""
"472",30001,"  When Archimedes put together in a globe the movements of"
"473",30001,"  the moon, sun and five wandering [planets], he brought"
"474",30001,"  about the same effect as that which the god of Plato did"
"475",30001,"  in the Timaeus when he made the world, so that one"
"476",30001,"  revolution produced dissimilar movements of delay and"
"477",30001,"  acceleration."
"478",30001,""
"479",30001,"    _Tusculanae disputationes_, I, 63."
"480",30001,""
"481",30001,"Later descriptions from Ovid, Lactantius, Claudian, Sextus Empiricus,"
"482",30001,"and Pappus, respectively, are (italics supplied):"
"483",30001,""
"484",30001,"  There stands a globe suspended by a Syracusan's skill in"
"485",30001,"  an enclosed bronze [frame, or sphere--or perhaps, in"
"486",30001,"  enclosed air], a small image of the immense vault [of"
"487",30001,"  heaven]; and the earth is equally distant from the top and"
"488",30001,"  bottom; that is brought about by its [_i. e._, the outer"
"489",30001,"  bronze globe's] round form. The form of the temple [of"
"490",30001,"  Vesta] is similar...."
"491",30001,""
"492",30001,"    Ovid, _Fasti_ (1st century, A.D.), VI, 277-280,"
"493",30001,"      Frazer's translation."
"494",30001,""
"495",30001,"  The Sicilian Archimedes, was able to make a reproduction"
"496",30001,"  and model of the world in concave _brass_ (concavo aere"
"497",30001,"  similitudinem mundi ac figuram); in it he so arranged the"
"498",30001,"  _sun_ and _moon_ and resembling the celestial revolutions"
"499",30001,"  (caelestibus similes conversionibus); and while it"
"500",30001,"  revolved it exhibited not only the accession and recession"
"501",30001,"  of the sun and the waxing and waning of the moon"
"502",30001,"  (incrementa deminutionesque lunae), but also the unequal"
"503",30001,"  _courses of the stars_, whether fixed or wandering."
"504",30001,""
"505",30001,"    Lactantius, _Institutiones divinae_ (4th century, A.D.),"
"506",30001,"      II, 5, 18."
"507",30001,""
"508",30001,"  Archimedes' sphere. When Jove looked down and saw the"
"509",30001,"  heavens figured in a sphere of _glass_, he laughed and"
"510",30001,"  said to the other gods: ""Has the power of mortal effort"
"511",30001,"  gone so far? Is my handiwork now mimicked in a fragile"
"512",30001,"  globe?"" An old man of Syracuse had imitated on earth the"
"513",30001,"  laws of the heavens, the order of nature, and the"
"514",30001,"  ordinances of the gods. Some hidden influence within the"
"515",30001,"  sphere directs the various courses of the _stars_ and"
"516",30001,"  actuates the lifelike mass with definite motions. A false"
"517",30001,"  _zodiac_ runs through a year of its own and a toy _moon_"
"518",30001,"  waxes and wanes month by month. Now bold invention"
"519",30001,"  rejoices to make its own heaven revolve and sets the"
"520",30001,"  _stars_ [planets?] in motion by human wit...."
"521",30001,""
"522",30001,"    Claudian, _Carmina minora_ (_ca._ A.D. 400), LI (LXVIII),"
"523",30001,"      Platnaure's translation."
"524",30001,""
"525",30001,"  The things that move by themselves are more wonderful than"
"526",30001,"  those which do not. At any rate, when we behold an"
"527",30001,"  Archimedean sphere in which the sun and the rest of the"
"528",30001,"  stars move, we are immensely impressed by it, not by Zeus"
"529",30001,"  because we are amazed at the _wood_, or at the movements"
"530",30001,"  of these [bodies], but by the devices and causes of the"
"531",30001,"  movements."
"532",30001,""
"533",30001,"    Sextus Empiricus, _Adversus mathematicos_ (3rd century,"
"534",30001,"      A.D.), IX, 115, Epps' translation."
"535",30001,""
"536",30001,"  Mechanics understand the making of spheres and know how to"
"537",30001,"  produce a model of the heavens (with the courses of the"
"538",30001,"  stars moving in circles?) by mean of equal and circular"
"539",30001,"  motions of _water_, and Archimedes the Syracusan,"
"540",30001,"  according to some, knows the cause and reasons for all of"
"541",30001,"  these."
"542",30001,""
"543",30001,"  Pappus (3rd century, A.D.), _Works_ (Hultsch edition),"
"544",30001,"    VIII, 2, Epps' translation."
"545",30001,""
"546",30001,""
"547",30001,"A similar arrangement seems to be indicated in another mechanized globe,"
"548",30001,"also mentioned by Cicero and said to have been made by Posidonius:"
"549",30001,""
